route_type, route_name,route_id
0,Alamein,1
0,Belgrave,2
0,Craigieburn,3
0,Cranbourne,4
0,Mernda,5
0,Frankston,6
0,Glen Waverley,7
0,Hurstbridge,8
0,Lilydale,9
0,Pakenham,11
0,Sandringham,12
0,Stony Point,13
0,Sunbury,14
0,Upfield,15
0,Werribee,16
0,Williamstown,17
0,Showgrounds - Flemington Racecourse,1482
1,East Coburg - South Melbourne Beach,721
1,Box Hill - Port Melbourne,722
1,Melbourne University - Kew via St Kilda Beach,724
1,North Coburg - Flinders Street Station & City,725
1,Melbourne University - East Malvern,761
1,West Maribyrnong - Flinders Street Station & City,887
1,Airport West - Flinders Street Station & City,897
1,Melbourne University - East Brighton,909
1,Melbourne University - Carnegie,913
1,Waterfront City Docklands -  Wattle Park,940
1,Melbourne University - Camberwell,947
1,Etihad Stadium Docklands - Vermont South,958
1,North Richmond - Balaclava via Prahran,976
1,Moonee Ponds - Footscray,1002
1,East Brunswick - St Kilda Beach,1041
1,Melbourne University - Malvern,1083
1,City Circle (Free Tourist Tram),1112
1,St Vincents Plaza - Docklands via La Trobe St,1880
1,Bundoora RMIT - Waterfront City Docklands,1881
1,North Balwyn - Victoria Harbour Docklands,2903
1,West Preston - Victoria Harbour Docklands,3343
1,Victoria Gardens - St Kilda,8314
1,West Coburg - Toorak,11529
1,Moreland - Glen Iris,11544
2,Highpoint SC - Avondale Heights via Maribyrnong,786
2,Sunshine Station - Footscray via Ballarat Road,789
2,Essendon Station - Keilor Park via East Keilor,821
2,Aberfeldie - Moonee Ponds via Holmes Road,822
2,Essendon - Highpoint SC via Maribyrnong,823
2,Williamstown - Sunshine Station via Newport & Altona Gate SC,825
2,Sunbury - Moonee Ponds via Diggers Rest,834
2,Moonee Ponds - Niddrie via Strathmore,841
2,Moonee Ponds - Westgarth Station via Brunswick,844
2,Alphington - Moonee Ponds via Northcote & Brunswick,845
2,Essendon - Ivanhoe via Brunswick & Northcote & Thornbury,847
2,Strathmore - East Coburg via Pascoe Vale South & Coburg West & Coburg,848
2,Northland - St Helena via Viewbank & Greensborough,850
2,Greensborough - St Helena West via St Helena,851
2,Coburg - Reservoir via Elizabeth Street,854
2,Gowrie  - Northland via Murray Road,855
2,Gowrie - Glenroy via Gowrie Park,860
2,Somerset Estate - Broadmeadows via Camp Road,861
2,Upfield - Broadmeadows via Coolaroo,862
2,Ivanhoe - Northland via Oriel Road,867
2,Northland - La Trobe University via Waterdale Road,869
2,Heidelberg - La Trobe University Interchange,870
2,Lalor - Northland via Plenty Road & Childs Road & Grimshaw Street,884
2,Lilydale - Healesville via Lilydale Station & Coldstream & Yarra Glen,927
2,Healesville - Badger Creek,928
2,Chum Creek - Healesville,929
2,Croydon - Montrose via Hawthory Road & Durham Road,931
2,Croydon - Boronia via Kilsyth & Canterbury Gardens & Kilsyth South,932
2,Olinda - Belgrave via Sherbrooke Road,935
2,Belgrave -  Belgrave South via Belgrave Heights,937
2,Belgrave - Upwey,939
2,Mordialloc - Springvale via Braeside & Clayton South,945
2,Carrum - Hampton via Southland,946
2,Box Hill - Upper Ferntree Gully via Vermont South & Knox City & Mountain Gate,948
2,Glen Iris - Glen Waverley,950
2,Mitcham - Blackburn via Vermont South & Glen Waverley & Forest Hill,952
2,Croydon - Monash University via Boronia & Knox City Shopping Centre & Glen Waverley,953
2,Mitcham - Knox City via Knox Private Hospital & Wantirna Secondary College,954
2,Mitcham - Vermont East via Reserve Avenue & Churinga Avenue,955
2,Knox City - Bayswater -  Wantirna Primary School,957
2,Glen Waverley - Bayswater via Wheelers Hill & Knoxfield & Boronia,959
